15.01	0.0	0.125	0.25	0.375	0.5	0.625	0.75	0.875	1.0
0.45	8.2	7.6	7.25	6.9	6.5	6.2	5.85	5.4	4.4
0.5	8.55	8.1	7.75	7.45	7.1	6.8	6.4	6.0	5.0
0.6	9.9	9.5	9.3	9.0	8.7	8.35	8.0	7.55	6.45
0.7	11.75	11.5	11.3	11.1	10.75	10.4	10.05	9.6	8.35
0.8	14.1	14.05	13.95	13.85	13.65	13.45	13.1	12.6	11.35
0.85	15.45	15.45	15.4	15.35	15.2	15.0	14.7	14.4	13.5
0.9	17.2	17.15	17.1	17.05	16.9	16.75	16.55	16.25	15.25
0.92	17.9	17.9	17.85	17.8	17.7	17.65	17.45	17.2	16.35
0.94	18.65	18.6	18.55	18.5	18.45	18.4	18.25	18.1	17.4
0.955	19.15	19.15	19.13	19.1	19.0	18.9	18.75	18.6	17.95
0.98	19.75	19.75	19.75	19.75	19.7	19.65	19.5	19.4	19.0
1.0	19.9	19.9	19.9	19.9	19.9	19.9	19.87	19.82	19.7
1.04	20.15	20.15	20.15	20.15	20.15	20.15	20.15	20.15	20.12
1.08	20.4	20.4	20.4	20.4	20.4	20.4	20.4	20.4	20.4
