15.01	0.0	0.125	0.25	0.375	0.5	0.625	0.75	0.875	1.0
0.45	0.62	0.64	0.64	0.64	0.63	0.62	0.6	0.58	0.56
0.5	0.63	0.66	0.665	0.66	0.645	0.63	0.615	0.595	0.58
0.6	0.645	0.69	0.705	0.705	0.69	0.67	0.65	0.63	0.61
0.7	0.66	0.715	0.745	0.755	0.755	0.74	0.72	0.695	0.665
0.8	0.675	0.735	0.77	0.8	0.82	0.82	0.805	0.78	0.755
0.85	0.68	0.74	0.78	0.82	0.86	0.86	0.85	0.82	0.8
0.9	0.68	0.745	0.785	0.835	0.865	0.875	0.87	0.855	0.83
0.92	0.68	0.745	0.785	0.835	0.87	0.875	0.875	0.865	0.84
0.94	0.675	0.74	0.785	0.835	0.865	0.875	0.875	0.87	0.845
0.955	0.67	0.735	0.78	0.83	0.86	0.875	0.875	0.87	0.845
0.98	0.665	0.73	0.77	0.82	0.85	0.87	0.875	0.865	0.835
1.0	0.655	0.72	0.76	0.805	0.84	0.86	0.87	0.85	0.82
1.04	0.64	0.7	0.73	0.78	0.81	0.84	0.85	0.81	0.78
1.08	0.625	0.68	0.7	0.75	0.78	0.8	0.8	0.75	0.72
